id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25389,15212,2023-01-21 22:08:36.610194,viladecans outlet - Buscar con Google,1,0,0,,,0,6939,2,0
25390,15215,2023-01-21 22:08:40.506700,"Restaurantes, Shopping & Ocio | The Style Outlets Spain - Viladecans",1,0,0,,,0,6938,0,100
25391,15216,2023-01-21 22:09:11.876234,TRIUMPH | The Style Outlets Spain - Viladecans,1,0,0,,,0,6938,0,100
25392,15217,2023-01-21 22:10:03.283883,Promociones | The Style Outlets Spain - Viladecans,1,0,0,,,0,6938,0,100
25393,15218,2023-01-21 22:10:20.663826,Virtual Shopping | The Style Outlets Spain - Viladecans,1,0,0,,,0,6938,0,100
25394,15219,2023-01-21 22:11:43.783404,Whats' on | The Style Outlets Spain - Viladecans,1,0,0,,,0,6938,0,100
25395,15220,2023-01-21 22:11:52.463175,Extra Descuentos | The Style Outlets Spain - Viladecans,1,0,0,,,0,6938,0,100
25396,15221,2023-01-21 22:12:38.440138,Centro | The Style Outlets Spain - Viladecans,1,0,0,,,0,6939,0,100
25397,15222,2023-01-21 22:12:57.928616,"Restaurantes, Shopping & Ocio | The Style Outlets Spain - Viladecans",1,0,0,,,0,6939,0,100
25398,15212,2023-01-21 22:13:34.301885,viladecans outlet - Buscar con Google,1,0,0,,,0,6939,4,25
25399,15223,2023-01-21 22:14:01.198951,The Style Outlets Spain - Viladecans,1,0,0,,,0,6939,0,100
25400,15224,2023-01-21 22:14:08.717215,CONVERSE | The Style Outlets Spain - Viladecans,1,0,0,,,0,6939,0,100
25401,15225,2023-01-21 22:14:11.902103,Converse Official Site. Converse.com,1,0,0,,,0,6939,0,100
25402,15225,2023-01-21 22:14:23.361955,Converse Official Site. Converse.com,1,0,0,,,0,6939,3,0
25403,15225,2023-01-21 22:14:23.374002,Converse Official Site. Converse.com,1,0,0,,,0,6939,3,0
25404,15226,2023-01-21 22:14:56.621359,Todas las Chuck 70. Converse.com,1,0,0,,,0,6939,0,100
25405,15226,2023-01-21 22:14:57.709312,Todas las Chuck 70. Converse.com,1,0,0,,,0,6939,3,0
25406,15226,2023-01-21 22:14:57.712911,Converse Official Site. Converse.com,1,0,0,,,0,6939,3,0
25407,15227,2023-01-22 18:41:41.849439,Redirection Page,1,0,0,,,0,6941,0,100
25408,15227,2023-01-22 20:17:41.080832,Redirection Page,1,0,0,,,0,6941,0,100
25409,15228,2023-01-22 20:17:43.274023, ,1,0,0,,25410.0,0,6941,0,100
25410,15229,2023-01-22 20:17:43.765241,Lo más nuevo para mujer | Nueva Colección Online | ZARA España,1,0,0,25409.0,,0,6941,0,100
25411,15136,2023-01-22 20:17:54.233869,Cine Yelmo,1,0,0,,,0,6941,0,100
25412,15230,2023-01-22 20:18:21.460991,,1,0,0,,,0,6941,0,100
25413,15231,2023-01-22 20:18:26.517639,Yelmo Cines - Avatar: El sentido del agua,1,0,0,,,0,6941,0,100
25414,15232,2023-01-22 20:18:42.760716,cartelera yelmo sant cugat - Buscar con Google,1,0,0,,,0,6941,0,100
25415,15232,2023-01-22 20:18:43.913211,cartelera yelmo sant cugat - Buscar con Google,1,0,0,,,0,6941,3,0
25416,15233,2023-01-22 20:18:49.551048,,1,0,0,,,0,6941,0,100
25417,15234,2023-01-22 20:18:53.589570,,1,0,0,,,0,6941,1,0
25418,15234,2023-01-22 20:19:24.418316,,1,0,0,,,0,6941,3,0
25419,15235,2023-01-22 20:19:33.832563,Yelmo Cines - Avatar: El sentido del agua,1,0,0,,,0,6941,0,100
25420,15236,2023-01-22 20:20:00.359375,Cine Yelmo,1,0,0,,,0,6941,0,100
25421,15237,2023-01-22 20:20:02.276405,Cine Yelmo,1,0,0,,,0,6941,1,0
25422,15238,2023-01-22 20:21:33.279319,Cine Yelmo,1,0,0,,,0,6941,1,0
25423,15239,2023-01-22 20:21:58.860404,Cine Yelmo,1,0,0,,,0,6941,1,0
25424,15240,2023-01-22 20:22:26.902495,Cine Yelmo,1,0,0,,,0,6941,1,0
25425,15241,2023-01-22 21:29:27.664246,,1,0,0,,25426.0,0,6941,0,100
25426,15242,2023-01-22 21:29:27.665894,Viladecans The Style Outlets: Google Local,1,0,0,25425.0,,0,6941,0,100
25427,15242,2023-01-22 21:29:28.232919,Viladecans The Style Outlets: Google Local,1,0,0,,,0,6941,3,0
25428,15243,2023-01-22 21:29:28.796606,Viladecans The Style Outlets: Google Local,1,0,0,,,0,6941,1,0
25429,15197,2023-01-22 21:34:11.643561,la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6941,0,100
25430,15197,2023-01-22 21:34:12.234726,la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6941,3,0
