Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,ZBILLCYCLEEND,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWWANIN,ZWWANOUT
167845,5,5,2,0,1,142,,2023-02-11 07:33:26.569642,0.0,0.0,129990.0,38842.0
167846,5,2,0,0,1,827,,2023-02-11 07:40:10.711836,0.0,0.0,100.0,1440.0
167847,5,3,0,0,1,158,,2023-02-11 07:40:09.785944,0.0,0.0,1778.0,723.0
167848,5,2,0,0,1,90,,2023-02-11 07:40:53.029268,0.0,0.0,96935.0,24177.0
167849,5,1,0,0,1,89,,2023-02-11 07:40:52.558858,0.0,0.0,1375.0,790.0
167850,5,6,0,0,1,100,,2023-02-11 07:44:38.702498,0.0,0.0,130995.0,40581.0
167851,5,1,0,0,1,855,,2023-02-11 08:04:44.049860,0.0,0.0,13888.0,3462.0
167852,5,1,0,0,1,393,,2023-02-11 08:04:43.131496,0.0,0.0,631.0,202.0
167853,5,3,0,0,1,872,,2023-02-11 08:04:53.853795,0.0,0.0,159528.0,9939.0
167854,5,3,0,0,1,489,,2023-02-11 08:04:51.759528,0.0,0.0,6972.0,3183.0
167855,5,5,0,0,1,490,,2023-02-11 08:04:52.488420,0.0,0.0,2954633.0,174158.0
167856,5,2,0,0,1,544,,2023-02-11 08:04:55.855822,0.0,0.0,5448.0,4242.0
167857,5,9,0,0,1,845,,2023-02-11 08:05:03.707460,0.0,0.0,66536.0,39823.0
167858,5,71,0,0,1,925,,2023-02-11 08:05:19.730957,0.0,0.0,7676736.0,1572047.0
167859,5,52,0,0,1,924,,2023-02-11 08:05:18.990371,0.0,0.0,50004.0,21497.0
167860,5,46,0,0,1,926,,2023-02-11 08:05:33.334074,0.0,0.0,221462308.0,1848803.0
167861,5,2,0,0,1,152,,2023-02-11 08:06:27.127312,0.0,0.0,9707.0,3830.0
167862,5,30,0,0,1,119,,2023-02-11 08:06:58.375586,0.0,0.0,132510.0,56320.0
167863,5,2,0,0,1,63,,2023-02-11 08:14:46.074853,0.0,0.0,1291.0,407.0
167864,5,3,0,0,1,844,,2023-02-11 08:38:35.874881,0.0,0.0,55093.0,14325.0
167865,5,262,0,0,1,73,,2023-02-11 08:45:21.580525,0.0,0.0,414892258.0,16319880.0
167866,5,85,0,0,1,44,,2023-02-11 08:48:19.494753,0.0,0.0,11517.0,8053.0
167867,5,91,0,0,1,811,,2023-02-11 08:49:02.049058,0.0,0.0,60308.0,62610.0
167868,5,2,0,0,1,899,,2023-02-11 08:49:48.012621,0.0,0.0,17959.0,25120.0
